code,name,year,indicator,value
600048,保利发展,2024,ROE,2.53
600048,保利发展,2020,净利润率,3.506
600048,保利发展,2021,净利润率,2.8054
600048,保利发展,2022,净利润率,1.882
600048,保利发展,2023,净利润率,1.2313
600048,保利发展,2024,净利润率,0.7026
600048,保利发展,2020,资产负债率,78.6924
600048,保利发展,2021,资产负债率,78.3622
600048,保利发展,2022,资产负债率,78.0891
600048,保利发展,2023,资产负债率,76.5451
600048,保利发展,2024,资产负债率,74.3444
000568,泸州老窖,2020,ROE,26.03
000568,泸州老窖,2021,ROE,28.37
000568,泸州老窖,2022,ROE,30.3
000568,泸州老窖,2023,ROE,32.0
000568,泸州老窖,2024,ROE,28.43
000568,泸州老窖,2020,净利润率,18.641
000568,泸州老窖,2021,净利润率,20.2945
000568,泸州老窖,2022,净利润率,22.0103
000568,泸州老窖,2023,净利润率,23.1752
000568,泸州老窖,2024,净利润率,20.5088
000568,泸州老窖,2020,资产负债率,33.7835
000568,泸州老窖,2021,资产负债率,34.8852
000568,泸州老窖,2022,资产负债率,33.1936
000568,泸州老窖,2023,资产负债率,34.3833
000568,泸州老窖,2024,资产负债率,30.4774
002179,中航光电,2020,ROE,14.78
002179,中航光电,2021,ROE,13.34
002179,中航光电,2022,ROE,15.61
002179,中航光电,2023,ROE,16.29
002179,中航光电,2024,ROE,14.21
002179,中航光电,2020,净利润率,8.9162
002179,中航光电,2021,净利润率,9.2013
002179,中航光电,2022,净利润率,9.8677
002179,中航光电,2023,净利润率,10.4949
002179,中航光电,2024,净利润率,9.2374
002179,中航光电,2020,资产负债率,45.3928
002179,中航光电,2021,资产负债率,41.0963
002179,中航光电,2022,资产负债率,41.8385
002179,中航光电,2023,资产负债率,38.1093
002179,中航光电,2024,资产负债率,38.7763
300510,金冠股份,2020,ROE,2.15
300510,金冠股份,2021,ROE,1.21
300510,金冠股份,2022,ROE,1.82
300510,金冠股份,2023,ROE,0.96
300510,金冠股份,2024,ROE,-14.56
300510,金冠股份,2020,净利润率,1.5689
300510,金冠股份,2021,净利润率,0.8653
300510,金冠股份,2022,净利润率,1.3391
300510,金冠股份,2023,净利润率,0.512
300510,金冠股份,2024,净利润率,-9.4633
300510,金冠股份,2020,资产负债率,18.7511
300510,金冠股份,2021,资产负债率,22.7837
300510,金冠股份,2022,资产负债率,23.7335
300510,金冠股份,2023,资产负债率,30.5115
300510,金冠股份,2024,资产负债率,31.4056
000988,华工科技,2020,ROE,8.29
000988,华工科技,2021,ROE,10.3
000988,华工科技,2022,ROE,11.0
000988,华工科技,2023,ROE,11.0
000988,华工科技,2024,ROE,11.99
000988,华工科技,2020,净利润率,5.2246
000988,华工科技,2021,净利润率,5.994
000988,华工科技,2022,净利润率,5.8062
000988,华工科技,2023,净利润率,5.8396
000988,华工科技,2024,净利润率,6.2936
000988,华工科技,2020,资产负债率,39.5984
000988,华工科技,2021,资产负债率,46.4941
000988,华工科技,2022,资产负债率,50.7929
000988,华工科技,2023,资产负债率,47.2799
000988,华工科技,2024,资产负债率,50.6457
